rideid,startpoint,endpoint,starttime,endtime,vehicleid,subscriptionid,startlockid,endlockid
71,"(51.1767,4.38241)","(51.1931,4.408)",2019-09-22 08:32:37.000000,2019-09-22 08:42:43.000000,5484,23716,5778,1618
72,"(51.1975,4.44373)","(51.2314,4.40357)",2019-09-22 08:05:40.000000,2019-09-22 08:19:33.000000,1969,29531,5138,546
73,"(51.2241,4.43214)","(51.2125,4.40924)",2019-09-22 08:52:21.000000,2019-09-22 09:03:37.000000,5508,68649,243,720
74,"(51.2119,4.39894)","(51.2036,4.42548)",2019-09-22 08:49:02.000000,2019-09-22 08:56:33.000000,1326,39532,2184,6583
75,"(51.2299,4.43167)","(51.1705,4.39471)",2019-09-22 08:06:57.000000,2019-09-22 08:27:41.000000,1815,60864,3100,5590
76,"(51.2305,4.40769)","(51.2179,4.41777)",2019-09-22 08:33:43.000000,2019-09-22 08:38:32.000000,1103,31428,4181,979
77,"(51.2123,4.40364)","(51.2254,4.4184)",2019-09-22 08:24:51.000000,2019-09-22 08:32:59.000000,3713,58809,3165,2782
78,"(51.2198,4.45487)","(51.2125,4.40924)",2019-09-22 08:05:36.000000,2019-09-22 08:25:08.000000,2753,48544,4470,709
79,"(51.2191,4.44437)","(51.2054,4.41352)",2019-09-22 08:17:29.000000,2019-09-22 08:30:41.000000,1681,57247,3260,1411
80,"(51.2313,4.421)","(51.1803,4.38105)",2019-09-22 08:18:09.000000,2019-09-22 08:43:05.000000,4166,49938,3253,5866
81,"(51.2077,4.39846)","(51.1876,4.4351)",2019-09-22 08:26:49.000000,2019-09-22 08:41:08.000000,368,44066,1946,5316
83,"(51.2199,4.36992)","(51.2201,4.38179)",2019-09-22 08:19:42.000000,2019-09-22 08:22:49.000000,4029,15838,7017,509
85,"(51.228,4.40221)","(51.2134,4.41328)",2019-09-22 08:54:31.000000,2019-09-22 09:02:37.000000,5567,60513,2865,1474
86,"(51.1968,4.39632)","(51.1682,4.39444)",2019-09-22 08:42:03.000000,2019-09-22 08:52:50.000000,1485,78025,750,5746
87,"(51.1682,4.39444)","(51.213,4.42164)",2019-09-22 08:09:13.000000,2019-09-22 08:24:16.000000,595,3257,5752,1175
88,"(51.2174,4.37791)","(51.2281,4.40573)",2019-09-22 08:03:18.000000,2019-09-22 08:11:38.000000,3989,21726,6867,2959
89,"(51.2055,4.39933)","(51.2191,4.3949)",2019-09-22 08:33:28.000000,2019-09-22 08:38:22.000000,3424,2087,3415,2570
91,"(51.1728,4.40521)","(51.2217,4.42071)",2019-09-22 08:31:35.000000,2019-09-22 08:52:54.000000,3734,13098,7444,2652
92,"(51.2174,4.42002)","(51.2251,4.41206)",2019-09-22 08:30:28.000000,2019-09-22 08:35:23.000000,861,42384,1364,2748
93,"(51.1754,4.41894)","(51.2299,4.43167)",2019-09-22 08:34:50.000000,2019-09-22 08:52:34.000000,3982,37027,7185,3112
94,"(51.2164,4.40598)","(51.228,4.40221)",2019-09-22 08:04:27.000000,2019-09-22 08:09:07.000000,3681,66674,2408,2891
95,"(51.1984,4.4022)","(51.2291,4.42473)",2019-09-22 08:37:24.000000,2019-09-22 08:51:39.000000,3533,37727,1439,2987
96,"(51.2281,4.40573)","(51.2008,4.39421)",2019-09-22 08:36:23.000000,2019-09-22 08:44:58.000000,766,55821,2965,1736
97,"(51.2448,4.41434)","(51.238,4.40977)",2019-09-22 08:40:58.000000,2019-09-22 08:44:16.000000,1633,50388,3586,6498
98,"(51.2422,4.44252)","(51.2016,4.42358)",2019-09-22 08:24:46.000000,2019-09-22 08:37:22.000000,5394,33368,4004,1031
99,"(51.2034,4.39221)","(51.2062,4.38336)",2019-09-22 08:02:42.000000,2019-09-22 08:05:47.000000,5327,70072,1865,7530
101,"(51.1836,4.39404)","(51.2219,4.41289)",2019-09-22 08:51:28.000000,2019-09-22 09:08:07.000000,859,53638,5635,1521
102,"(51.2134,4.43392)","(51.2083,4.44595)",2019-09-22 08:33:10.000000,2019-09-22 08:36:48.000000,743,27526,2291,4846
103,"(51.2281,4.41173)","(51.2313,4.421)",2019-09-22 08:38:20.000000,2019-09-22 08:41:35.000000,1505,11828,2806,3229
104,"(51.2018,4.40607)","(51.2062,4.38336)",2019-09-22 08:47:12.000000,2019-09-22 08:54:26.000000,135,50807,1802,7535
105,"(51.2054,4.43226)","(51.2082,4.42433)",2019-09-22 08:12:58.000000,2019-09-22 08:16:22.000000,5601,37240,1933,1983
106,"(51.22,4.37552)","(51.2174,4.37791)",2019-09-22 08:26:19.000000,2019-09-22 08:27:32.000000,1224,62576,325,6867
107,"(51.228,4.41899)","(51.1931,4.408)",2019-09-22 08:16:57.000000,2019-09-22 08:29:03.000000,205,68537,799,1612
108,"(51.1719,4.38237)","(51.2333,4.40311)",2019-09-22 08:57:15.000000,2019-09-22 09:21:25.000000,1780,57230,6314,4117
109,"(51.2058,4.41837)","(51.2492,4.45468)",2019-09-22 08:43:14.000000,2019-09-22 09:02:51.000000,3542,33940,182,3939
110,"(51.243,4.43569)","(51.2008,4.39421)",2019-09-22 08:32:13.000000,2019-09-22 08:48:04.000000,1158,47623,3977,1743
111,"(51.2261,4.42638)","(51.2251,4.41206)",2019-09-22 08:11:10.000000,2019-09-22 08:15:33.000000,3552,15765,6570,2739
112,"(51.1859,4.42338)","(51.2221,4.41835)",2019-09-22 08:59:48.000000,2019-09-22 09:11:46.000000,642,60136,5405,2610
114,"(51.2058,4.39879)","(51.2228,4.42426)",2019-09-22 08:18:03.000000,2019-09-22 08:26:36.000000,3935,10402,1447,2708
115,"(51.1941,4.39304)","(51.2305,4.40769)",2019-09-22 08:23:11.000000,2019-09-22 08:34:41.000000,783,56375,6256,4168
116,"(51.1886,4.42959)","(51.228,4.40221)",2019-09-22 08:27:12.000000,2019-09-22 08:44:19.000000,5548,31595,5232,2884
117,"(51.2259,4.40086)","(51.2281,4.41173)",2019-09-22 08:35:09.000000,2019-09-22 08:38:12.000000,469,61278,2838,2822
118,"(51.2206,4.38648)","(51.2299,4.43167)",2019-09-22 08:36:14.000000,2019-09-22 08:54:53.000000,5733,56369,378,3106
119,"(51.2134,4.43392)","(51.2221,4.40467)",2019-09-22 08:18:38.000000,2019-09-22 08:29:23.000000,5513,28037,2302,2684
120,"(51.2077,4.39846)","(51.226,4.42343)",2019-09-22 08:29:51.000000,2019-09-22 08:38:56.000000,2809,34786,1953,1094
121,"(51.2292,4.46201)","(51.2191,4.3949)",2019-09-22 08:36:21.000000,2019-09-22 08:55:33.000000,4041,38540,4315,2577
122,"(51.2333,4.41391)","(51.2273,4.4307)",2019-09-22 08:50:41.000000,2019-09-22 08:58:02.000000,237,69407,4085,1566
123,"(51.2158,4.40314)","(51.2402,4.40843)",2019-09-22 08:49:39.000000,2019-09-22 08:57:16.000000,1243,2861,2392,6479
124,"(51.2536,4.4232)","(51.2333,4.41391)",2019-09-22 08:36:15.000000,2019-09-22 08:43:34.000000,3979,57636,3496,4058
125,"(51.228,4.40221)","(51.2134,4.45347)",2019-09-22 08:42:31.000000,2019-09-22 09:03:14.000000,3681,12692,2891,4659
126,"(51.2165,4.39375)","(51.2314,4.40357)",2019-09-22 08:06:06.000000,2019-09-22 08:11:02.000000,3667,63170,1478,541
127,"(51.213,4.42164)","(51.2155,4.42551)",2019-09-22 08:34:04.000000,2019-09-22 08:35:43.000000,5506,72214,1193,1065
128,"(51.1689,4.37632)","(51.1803,4.38105)",2019-09-22 08:17:32.000000,2019-09-22 08:21:07.000000,3789,27874,7404,5851
129,"(51.22,4.37552)","(51.2036,4.42548)",2019-09-22 08:48:25.000000,2019-09-22 09:04:37.000000,4097,44953,332,6603
130,"(51.2019,4.39835)","(51.2099,4.42248)",2019-09-22 08:06:47.000000,2019-09-22 08:14:20.000000,388,23716,3349,208
131,"(51.1955,4.44223)","(51.2177,4.42062)",2019-09-22 08:23:51.000000,2019-09-22 08:32:02.000000,2002,59385,5099,2466
132,"(51.1925,4.42158)","(51.2333,4.41391)",2019-09-22 08:53:53.000000,2019-09-22 09:11:20.000000,1716,31737,3343,4074
133,"(51.1994,4.39013)","(51.2282,4.41337)",2019-09-22 08:03:12.000000,2019-09-22 08:17:49.000000,1081,3967,128,657
134,"(51.2222,4.46118)","(51.2008,4.39421)",2019-09-22 08:08:15.000000,2019-09-22 08:28:55.000000,5720,11671,4459,1733
135,"(51.2281,4.40573)","(51.2023,4.41208)",2019-09-22 08:55:20.000000,2019-09-22 09:07:09.000000,83,40169,2952,1819
136,"(51.2062,4.38336)","(51.2314,4.40357)",2019-09-22 08:38:17.000000,2019-09-22 08:47:10.000000,5387,47000,7542,536
138,"(51.2299,4.43167)","(51.2201,4.38179)",2019-09-22 08:39:11.000000,2019-09-22 08:56:32.000000,3982,23600,3112,521
139,"(51.2123,4.40364)","(51.1925,4.42158)",2019-09-22 08:57:04.000000,2019-09-22 09:05:26.000000,565,44728,3135,3336
140,"(51.2101,4.41739)","(51.1968,4.39632)",2019-09-22 08:08:58.000000,2019-09-22 08:15:57.000000,1216,32479,2116,750
141,"(51.2333,4.41391)","(51.2062,4.38336)",2019-09-22 08:36:44.000000,2019-09-22 08:51:08.000000,206,26092,4057,7516
142,"(51.2273,4.4307)","(51.1984,4.4022)",2019-09-22 08:55:03.000000,2019-09-22 09:13:11.000000,1647,71584,1550,1425
143,"(51.2176,4.48212)","(51.2281,4.41173)",2019-09-22 08:25:52.000000,2019-09-22 08:51:29.000000,1195,75781,4614,2794
144,"(51.2068,4.47132)","(51.2016,4.42358)",2019-09-22 08:58:53.000000,2019-09-22 09:15:52.000000,5803,44666,4799,1044
145,"(51.2095,4.45816)","(51.2216,4.40268)",2019-09-22 08:45:28.000000,2019-09-22 09:06:31.000000,3844,40414,4728,2641
146,"(51.1777,4.35008)","(51.2047,4.39625)",2019-09-22 08:09:34.000000,2019-09-22 08:30:44.000000,4060,49134,5968,122
148,"(51.211,4.40724)","(51.2272,4.42228)",2019-09-22 08:32:19.000000,2019-09-22 08:41:48.000000,328,29709,2144,1544
149,"(51.2333,4.41391)","(51.2171,4.40888)",2019-09-22 08:28:38.000000,2019-09-22 08:33:08.000000,86,35592,4076,2430
150,"(51.2199,4.36992)","(51.2016,4.42358)",2019-09-22 08:56:06.000000,2019-09-22 09:11:15.000000,409,72245,7011,1015
151,"(51.2354,4.4271)","(51.2191,4.3949)",2019-09-22 08:54:33.000000,2019-09-22 09:06:12.000000,3691,38726,4206,2573
152,"(51.2101,4.41739)","(51.2276,4.43921)",2019-09-22 08:48:04.000000,2019-09-22 08:58:46.000000,5368,25842,2115,270
153,"(51.2333,4.40311)","(51.2182,4.40617)",2019-09-22 08:28:29.000000,2019-09-22 08:33:12.000000,1964,53633,4111,2483
155,"(51.2135,4.40496)","(51.1711,4.3672)",2019-09-22 08:12:39.000000,2019-09-22 08:28:35.000000,746,41118,2255,6693
156,"(51.2165,4.39375)","(51.2229,4.40622)",2019-09-22 08:44:29.000000,2019-09-22 08:48:36.000000,1800,38282,1489,1101
157,"(51.2033,4.3889)","(51.1975,4.4596)",2019-09-22 08:04:29.000000,2019-09-22 08:24:41.000000,89,53404,3421,5064
158,"(51.2313,4.421)","(51.1772,4.37486)",2019-09-22 08:11:14.000000,2019-09-22 08:39:14.000000,820,67320,3241,7111
160,"(51.2216,4.40268)","(51.2515,4.44805)",2019-09-22 08:40:35.000000,2019-09-22 09:00:42.000000,1083,26328,2636,3830
161,"(51.2134,4.45347)","(51.2201,4.43269)",2019-09-22 08:17:45.000000,2019-09-22 08:27:39.000000,3453,66670,4660,3119
163,"(51.2211,4.39678)","(51.2123,4.40364)",2019-09-22 08:50:27.000000,2019-09-22 08:54:15.000000,3965,51377,2624,3141
164,"(51.2219,4.41289)","(51.2512,4.4373)",2019-09-22 08:45:36.000000,2019-09-22 09:00:04.000000,4020,22932,1522,3780
165,"(51.1692,4.36344)","(51.2155,4.42551)",2019-09-22 08:24:03.000000,2019-09-22 08:51:18.000000,3900,38313,6835,1055
166,"(51.2148,4.39632)","(51.2281,4.41173)",2019-09-22 08:08:41.000000,2019-09-22 08:15:46.000000,3869,76668,2351,2793
167,"(51.2177,4.42075)","(51.213,4.42164)",2019-09-22 08:44:03.000000,2019-09-22 08:45:20.000000,1057,14478,19,1196
168,"(51.2191,4.3949)","(51.2078,4.39439)",2019-09-22 08:09:20.000000,2019-09-22 08:13:29.000000,4193,72196,2562,1965
170,"(51.2294,4.41127)","(51.2191,4.3949)",2019-09-22 08:23:51.000000,2019-09-22 08:29:14.000000,5525,58240,3005,2592
174,"(51.2192,4.46007)","(51.2047,4.38766)",2019-09-22 08:10:35.000000,2019-09-22 08:32:21.000000,5527,24151,4514,1925
175,"(51.1925,4.42158)","(51.2011,4.43401)",2019-09-22 08:25:20.000000,2019-09-22 08:29:59.000000,154,51457,3320,854
177,"(51.211,4.40724)","(51.2177,4.42075)",2019-09-22 08:59:59.000000,2019-09-22 09:04:40.000000,1400,5831,2148,30
178,"(51.1682,4.39444)","(51.1836,4.39404)",2019-09-22 08:34:07.000000,2019-09-22 08:39:00.000000,869,63439,5755,5653
179,"(51.1876,4.4351)","(51.1886,4.42959)",2019-09-22 08:50:29.000000,2019-09-22 08:52:08.000000,1026,4605,5295,5205
180,"(51.2291,4.42473)","(51.2186,4.43864)",2019-09-22 08:05:59.000000,2019-09-22 08:12:56.000000,2701,76907,2973,2543
181,"(51.2318,4.42699)","(51.2095,4.45816)",2019-09-22 08:39:08.000000,2019-09-22 08:50:38.000000,4137,73404,3094,4749
182,"(51.2254,4.4184)","(51.2099,4.39098)",2019-09-22 08:51:45.000000,2019-09-22 09:02:12.000000,2584,76407,2790,2104
183,"(51.2313,4.421)","(51.2046,4.41057)",2019-09-22 08:21:25.000000,2019-09-22 08:29:17.000000,1552,70024,3244,1879
184,"(51.228,4.41899)","(51.213,4.42176)",2019-09-22 08:31:38.000000,2019-09-22 08:37:13.000000,103,49939,780,2225
185,"(51.2186,4.43056)","(51.226,4.42343)",2019-09-22 08:43:50.000000,2019-09-22 08:47:04.000000,2664,20836,2534,1081
186,"(51.2254,4.4184)","(51.2211,4.39678)",2019-09-22 08:16:24.000000,2019-09-22 08:23:42.000000,1271,62795,2788,2626
187,"(51.1931,4.408)","(51.2036,4.41518)",2019-09-22 08:36:07.000000,2019-09-22 08:40:53.000000,2742,44298,1619,834
188,"(51.2099,4.39098)","(51.2165,4.39375)",2019-09-22 08:58:35.000000,2019-09-22 09:01:33.000000,2584,7681,2104,1494
189,"(51.2054,4.41352)","(51.2333,4.41391)",2019-09-22 08:07:10.000000,2019-09-22 08:17:10.000000,1040,71257,1421,4066
190,"(51.1888,4.45039)","(51.2261,4.42638)",2019-09-22 08:42:18.000000,2019-09-22 08:57:02.000000,1588,41111,6393,6536
191,"(51.2313,4.421)","(51.2171,4.40888)",2019-09-22 08:48:04.000000,2019-09-22 08:55:04.000000,365,41356,3251,2428
192,"(51.2148,4.39632)","(51.2261,4.42638)",2019-09-22 08:16:17.000000,2019-09-22 08:30:58.000000,612,43777,2353,6565
193,"(51.1985,4.39071)","(51.2291,4.42473)",2019-09-22 08:26:57.000000,2019-09-22 08:43:08.000000,725,38714,1692,2971
195,"(51.2221,4.43375)","(51.2062,4.38336)",2019-09-22 08:22:18.000000,2019-09-22 08:38:24.000000,3984,19503,2678,7508
196,"(51.2354,4.4271)","(51.2036,4.41518)",2019-09-22 08:59:56.000000,2019-09-22 09:10:17.000000,481,24213,4210,841
197,"(51.1836,4.39404)","(51.1771,4.39972)",2019-09-22 08:02:51.000000,2019-09-22 08:05:12.000000,1350,13542,5636,5671
198,"(51.2019,4.39835)","(51.2145,4.44373)",2019-09-22 08:49:25.000000,2019-09-22 09:02:20.000000,5297,63039,3357,3059
199,"(51.2183,4.41409)","(51.2282,4.41337)",2019-09-22 08:25:24.000000,2019-09-22 08:28:27.000000,242,31778,2491,646
200,"(51.2251,4.41206)","(51.2148,4.39251)",2019-09-22 08:54:14.000000,2019-09-22 09:01:32.000000,528,27685,2742,2375
201,"(51.2254,4.4184)","(51.226,4.42343)",2019-09-22 08:42:44.000000,2019-09-22 08:44:33.000000,473,48535,2784,1098
202,"(51.2281,4.41173)","(51.213,4.42164)",2019-09-22 08:56:20.000000,2019-09-22 09:04:33.000000,1603,9741,2821,1190
203,"(51.183,4.43873)","(51.2055,4.39933)",2019-09-22 08:10:25.000000,2019-09-22 08:24:41.000000,1941,48982,5278,3415
204,"(51.2198,4.45487)","(51.2263,4.45196)",2019-09-22 08:20:23.000000,2019-09-22 08:22:20.000000,1393,1231,4482,4279
205,"(51.2036,4.41518)","(51.2083,4.44595)",2019-09-22 08:43:43.000000,2019-09-22 08:51:59.000000,665,57597,842,4844
206,"(51.2058,4.39879)","(51.1923,4.44875)",2019-09-22 08:23:32.000000,2019-09-22 08:39:11.000000,976,67426,1445,5118
207,"(51.2281,4.41173)","(51.1943,4.37909)",2019-09-22 08:30:31.000000,2019-09-22 08:49:01.000000,3918,35821,2792,6221
208,"(51.2297,4.40572)","(51.2103,4.39686)",2019-09-22 08:50:02.000000,2019-09-22 08:58:57.000000,1517,36100,599,918
209,"(51.2521,4.43305)","(51.2299,4.43167)",2019-09-22 08:24:57.000000,2019-09-22 08:31:49.000000,282,21538,6898,3097
210,"(51.2492,4.45468)","(51.2077,4.39846)",2019-09-22 08:10:04.000000,2019-09-22 08:31:15.000000,1645,75241,3927,1956
212,"(51.1968,4.39632)","(51.1931,4.408)",2019-09-22 08:37:23.000000,2019-09-22 08:43:01.000000,1216,1603,750,1603
213,"(51.1803,4.38105)","(51.2311,4.41267)",2019-09-22 08:27:56.000000,2019-09-22 08:50:52.000000,2028,49414,5849,570
214,"(51.2033,4.3889)","(51.2299,4.43167)",2019-09-22 08:43:51.000000,2019-09-22 09:05:42.000000,562,57385,3424,3108
216,"(51.1705,4.39471)","(51.1675,4.38542)",2019-09-22 08:55:47.000000,2019-09-22 08:58:24.000000,1793,58137,5591,7329
217,"(51.2211,4.39678)","(51.1985,4.39071)",2019-09-22 08:15:15.000000,2019-09-22 08:21:49.000000,1772,56214,2617,1697
218,"(51.2261,4.42638)","(51.2008,4.39808)",2019-09-22 08:04:58.000000,2019-09-22 08:16:01.000000,5633,12625,6549,1147
219,"(51.2288,4.47866)","(51.2069,4.43013)",2019-09-22 08:09:29.000000,2019-09-22 08:26:28.000000,1360,6462,4393,1210
220,"(51.2062,4.38336)","(51.2282,4.41337)",2019-09-22 08:52:15.000000,2019-09-22 09:03:47.000000,5386,41399,7521,653
221,"(51.2008,4.39808)","(51.2103,4.39686)",2019-09-22 08:30:08.000000,2019-09-22 08:32:55.000000,1840,6379,1149,907
222,"(51.209,4.43266)","(51.2609,4.42039)",2019-09-22 08:23:08.000000,2019-09-22 08:47:15.000000,605,13258,2054,3487
223,"(51.2062,4.38336)","(51.2179,4.41777)",2019-09-22 08:07:55.000000,2019-09-22 08:19:14.000000,135,5336,7535,989
224,"(51.2088,4.38734)","(51.25,4.4209)",2019-09-22 08:06:31.000000,2019-09-22 08:24:13.000000,4024,36211,1999,3541
225,"(51.2215,4.40869)","(51.2263,4.45196)",2019-09-22 08:40:19.000000,2019-09-22 08:55:30.000000,3765,20334,1380,4286
226,"(51.2078,4.39439)","(51.1709,4.34944)",2019-09-22 08:40:14.000000,2019-09-22 09:01:24.000000,313,72650,1979,6728
227,"(51.2135,4.40496)","(51.191,4.37669)",2019-09-22 08:55:03.000000,2019-09-22 09:08:42.000000,953,23366,2265,6208
228,"(51.2177,4.42062)","(51.2176,4.48212)",2019-09-22 08:43:25.000000,2019-09-22 09:01:47.000000,3887,34970,2456,4632
229,"(51.2119,4.39894)","(51.2088,4.40834)",2019-09-22 08:54:12.000000,2019-09-22 08:56:53.000000,1542,70353,2182,2047
230,"(51.206,4.39297)","(51.2134,4.41328)",2019-09-22 08:07:31.000000,2019-09-22 08:14:38.000000,300,21770,723,1473
231,"(51.2099,4.42248)","(51.2281,4.40573)",2019-09-22 08:18:15.000000,2019-09-22 08:26:36.000000,1311,17888,207,2952
232,"(51.2314,4.40357)","(51.2142,4.4162)",2019-09-22 08:55:35.000000,2019-09-22 09:01:36.000000,1167,18954,554,2330
233,"(51.2054,4.41352)","(51.1744,4.40334)",2019-09-22 08:21:58.000000,2019-09-22 08:32:42.000000,3860,25976,1408,5615
234,"(51.2229,4.40622)","(51.2305,4.40769)",2019-09-22 08:23:27.000000,2019-09-22 08:26:26.000000,46,74379,1130,4167
236,"(51.2054,4.41352)","(51.2261,4.42638)",2019-09-22 08:33:27.000000,2019-09-22 08:40:08.000000,1327,68536,1417,6570
237,"(51.2279,4.37864)","(51.2279,4.37864)",2019-09-22 08:29:24.000000,2019-09-22 08:29:24.000000,2715,,304,304
238,"(51.2104,4.45252)","(51.2083,4.44595)",2019-09-22 08:59:46.000000,2019-09-22 09:01:59.000000,3625,41390,4691,4852
239,"(51.2145,4.44373)","(51.2155,4.42551)",2019-09-22 08:43:53.000000,2019-09-22 08:51:01.000000,4053,44827,3047,1050
