vehicleid,serialnumber,bikelotid,lastmaintenanceon,lockid,position
28,28000,1,2019-10-12 21:13:46.000000,,"(51.1985,4.39071)"
29,29000,1,2019-09-21 06:21:11.000000,5913,"(51.1832,4.36413)"
30,30000,1,2019-11-06 22:31:14.000000,,"(51.2189,4.4012)"
31,31000,1,2019-11-03 18:34:17.000000,,"(51.2177,4.42075)"
32,32000,1,2019-10-12 05:27:50.000000,,"(51.2034,4.39221)"
33,33000,1,2019-10-15 20:26:51.000000,,"(51.1968,4.40579)"
34,34000,1,2019-11-22 18:52:25.000000,,"(51.211,4.39035)"
35,35000,1,2019-09-29 11:59:08.000000,,"(51.2148,4.39251)"
36,36000,1,2020-08-16 07:04:24.000000,,"(51.2058,4.39879)"
37,37000,1,2023-09-12 13:13:22.000000,2700,"(51.2221,4.40467)"
38,38000,1,2021-06-10 05:32:30.000000,,"(51.228,4.41899)"
39,39000,1,2019-10-21 07:27:03.000000,,"(51.2008,4.39808)"
40,40000,1,2023-09-11 10:52:44.000000,1044,"(51.2016,4.42358)"
41,41000,1,2020-02-23 15:25:29.000000,,"(51.2023,4.41208)"
42,42000,1,2019-10-10 10:27:51.000000,,"(51.2054,4.41352)"
43,43000,1,2022-05-14 02:24:59.000000,,"(51.228,4.41899)"
44,44000,1,2019-10-13 02:23:45.000000,,"(51.2219,4.41289)"
45,45000,1,2020-11-06 05:14:42.000000,,"(51.213,4.42176)"
46,46000,1,2020-06-11 19:16:45.000000,,"(51.2187,4.40066)"
47,47000,1,2023-09-13 13:24:48.000000,6767,"(51.1672,4.35344)"
48,48000,1,2021-07-27 20:43:24.000000,,"(51.219,4.40405)"
49,49000,1,2021-02-07 12:31:49.000000,,"(51.2204,4.37858)"
50,50000,1,2019-09-23 18:46:11.000000,,"(51.2182,4.41238)"
51,51000,1,2019-09-21 00:49:21.000000,3317,"(51.1925,4.42158)"
52,52000,1,2019-12-02 07:54:51.000000,,"(51.2103,4.39686)"
53,53000,1,2019-10-07 03:53:09.000000,,"(51.2294,4.41127)"
54,54000,1,2019-12-05 04:16:32.000000,,"(51.2045,4.40477)"
55,55000,1,2020-03-21 08:53:33.000000,,"(51.2058,4.41837)"
56,56000,1,2019-11-29 04:45:36.000000,,"(51.211,4.39035)"
57,57000,1,2023-09-14 14:01:09.000000,846,"(51.2036,4.41518)"
58,58000,1,2019-11-28 18:49:35.000000,,"(51.2171,4.40888)"
59,59000,1,2020-01-13 21:41:39.000000,,"(51.2281,4.409)"
60,60000,1,2019-12-12 07:30:14.000000,,"(51.213,4.42176)"
61,61000,1,2023-08-30 15:15:29.000000,5868,"(51.1803,4.38105)"
62,62000,1,2022-04-21 08:32:08.000000,,"(51.2177,4.42075)"
63,63000,1,2019-10-03 08:29:35.000000,,"(51.2299,4.43167)"
64,64000,1,2019-11-04 18:03:17.000000,,"(51.2195,4.41169)"
65,65000,1,2019-12-14 22:39:55.000000,,"(51.2187,4.40066)"
66,66000,1,2023-06-24 03:30:57.000000,,"(51.2182,4.41238)"
67,67000,1,2020-06-25 01:39:10.000000,,"(51.2314,4.40357)"
68,68000,1,2023-09-11 08:53:48.000000,6498,"(51.238,4.40977)"
69,69000,1,2019-10-08 02:30:03.000000,2849,"(51.2262,4.40961)"
70,70000,1,2019-10-19 21:05:21.000000,,"(51.2104,4.38767)"
71,71000,1,2019-11-24 20:49:16.000000,,"(51.2216,4.4005)"
72,72000,1,2019-09-21 02:34:25.000000,2493,"(51.2183,4.41409)"
73,73000,1,2019-09-22 04:55:16.000000,,"(51.2134,4.41328)"
74,74000,1,2023-09-02 08:38:34.000000,6173,"(51.1908,4.38101)"
75,75000,1,2019-11-30 08:40:06.000000,,"(51.2153,4.41198)"
76,76000,1,2019-09-22 03:34:46.000000,,"(51.209,4.43266)"
77,77000,1,2019-10-28 12:39:15.000000,,"(51.2195,4.41169)"
78,78000,1,2019-10-16 22:09:06.000000,,"(51.2119,4.39894)"
79,79000,1,2021-05-17 03:44:58.000000,,"(51.2314,4.40357)"
80,80000,1,2023-09-10 18:29:02.000000,4932,"(51.2038,4.44423)"
81,81000,1,2019-09-29 18:11:45.000000,,"(51.2047,4.38766)"
82,82000,1,2019-12-24 11:20:09.000000,,"(51.2259,4.40086)"
83,83000,1,2019-12-23 07:39:13.000000,,"(51.2058,4.41837)"
84,84000,1,2019-12-26 13:05:04.000000,,"(51.2123,4.39402)"
85,85000,1,2020-12-08 12:45:38.000000,415,"(51.2311,4.38585)"
86,86000,1,2021-06-05 17:10:27.000000,,"(51.2281,4.409)"
87,87000,1,2020-02-24 23:05:53.000000,,"(51.2034,4.39221)"
88,88000,1,2019-10-26 19:40:26.000000,,"(51.2045,4.40477)"
89,89000,1,2023-09-10 17:45:32.000000,1602,"(51.1926,4.42151)"
90,90000,1,2020-06-25 07:43:24.000000,,"(51.2187,4.40066)"
91,91000,1,2020-03-01 13:05:58.000000,,"(51.2311,4.41267)"
92,92000,1,2019-09-21 00:49:47.000000,3318,"(51.1925,4.42158)"
93,93000,1,2019-12-23 07:39:33.000000,,"(51.2058,4.41837)"
94,94000,1,2019-10-01 06:03:40.000000,,"(51.2182,4.41238)"
95,95000,1,2019-09-24 09:10:13.000000,,"(51.2311,4.41267)"
96,96000,1,2019-11-16 17:48:07.000000,,"(51.2182,4.41238)"
97,97000,1,2021-08-04 01:29:05.000000,,"(51.2177,4.42075)"
98,98000,1,2020-01-14 15:33:58.000000,,"(51.2099,4.42248)"
99,99000,1,2019-11-19 06:48:53.000000,,"(51.2047,4.39625)"
100,100000,1,2023-09-10 23:15:35.000000,3168,"(51.2123,4.40364)"
101,101000,1,2019-10-13 09:59:30.000000,,"(51.2135,4.40496)"
102,102000,1,2019-09-21 04:19:32.000000,4619,"(51.2176,4.48212)"
103,103000,1,2019-10-01 18:10:23.000000,1843,"(51.2032,4.42845)"
104,104000,1,2021-06-20 16:03:43.000000,,"(51.2182,4.41238)"
105,105000,1,2023-05-08 14:26:13.000000,,"(51.2104,4.38767)"
106,106000,1,2019-12-22 14:53:38.000000,,"(51.1971,4.4103)"
107,107000,1,2020-01-02 10:24:55.000000,,"(51.1994,4.39013)"
108,108000,1,2019-10-17 07:14:51.000000,,"(51.2012,4.40224)"
109,109000,1,2020-02-16 16:34:36.000000,,"(51.2182,4.41238)"
110,110000,1,2019-10-24 19:34:02.000000,,"(51.2125,4.40924)"
111,111000,1,2019-11-11 01:22:19.000000,,"(51.2135,4.40496)"
112,112000,1,2023-08-30 11:42:44.000000,4157,"(51.2345,4.40955)"
113,113000,1,2023-09-05 16:56:40.000000,1134,"(51.2229,4.40622)"
114,114000,1,2019-12-12 03:54:13.000000,,"(51.2182,4.41238)"
115,115000,1,2019-11-03 01:36:36.000000,,"(51.2177,4.42062)"
116,116000,1,2019-11-05 12:40:21.000000,,"(51.2165,4.39375)"
117,117000,1,2019-12-01 00:35:41.000000,,"(51.2262,4.40961)"
118,118000,1,2019-12-17 08:36:23.000000,,"(51.211,4.40724)"
119,119000,1,2019-11-21 23:58:40.000000,,"(51.226,4.42343)"
120,120000,1,2019-11-04 18:03:40.000000,,"(51.2195,4.41169)"
121,121000,1,2019-10-02 10:19:48.000000,,"(51.2247,4.43659)"
122,122000,1,2019-09-21 05:13:08.000000,3423,"(51.2033,4.3889)"
123,123000,1,2023-09-04 17:06:18.000000,6947,"(51.1817,4.35806)"
124,124000,1,2021-07-09 12:02:14.000000,505,"(51.2201,4.38179)"
125,125000,1,2020-01-02 03:04:56.000000,,"(51.211,4.40724)"
126,126000,1,2019-10-12 02:28:53.000000,2845,"(51.2262,4.40961)"
127,127000,1,2020-03-10 05:16:52.000000,,"(51.226,4.42343)"
128,128000,1,2019-11-29 17:59:57.000000,,"(51.2241,4.43214)"
129,129000,1,2019-09-21 05:13:55.000000,3427,"(51.2033,4.3889)"
130,130000,1,2019-10-08 08:52:12.000000,,"(51.2104,4.38767)"
131,131000,1,2023-09-11 13:26:59.000000,3095,"(51.2318,4.42699)"
132,132000,1,2019-10-13 21:56:26.000000,,"(51.226,4.42343)"
133,133000,1,2019-09-21 08:16:54.000000,3679,"(51.2564,4.44715)"
134,134000,1,2019-10-01 20:02:54.000000,,"(51.2241,4.43214)"
135,135000,1,2020-01-29 21:55:42.000000,,"(51.2099,4.42248)"
136,136000,1,2021-09-03 18:32:04.000000,,"(51.2187,4.40066)"
137,137000,1,2020-09-27 07:30:48.000000,,"(51.2247,4.43659)"
138,138000,1,2019-10-29 03:02:04.000000,675,"(51.1968,4.40579)"
139,139000,1,2019-09-30 01:34:07.000000,,"(51.2221,4.41835)"
140,140000,1,2023-09-06 14:57:20.000000,2646,"(51.2216,4.40268)"
141,141000,1,2019-12-04 17:38:40.000000,,"(51.1931,4.408)"
142,142000,1,2019-11-04 20:56:44.000000,,"(51.2211,4.39678)"
143,143000,1,2019-12-29 14:12:37.000000,,"(51.2177,4.42075)"
144,144000,1,2019-11-24 13:26:38.000000,,"(51.2125,4.40924)"
145,145000,1,2023-09-09 20:58:32.000000,450,"(51.2352,4.38685)"
146,146000,1,2019-11-15 06:25:16.000000,,"(51.2182,4.41238)"
147,147000,1,2019-11-05 00:10:31.000000,,"(51.2182,4.41238)"
148,148000,1,2020-03-24 14:11:38.000000,,"(51.2047,4.39625)"
149,149000,1,2019-10-20 10:40:48.000000,,"(51.2241,4.43214)"
150,150000,1,2019-11-26 12:15:08.000000,,"(51.2134,4.41328)"
151,151000,1,2019-12-18 12:04:04.000000,,"(51.2171,4.40888)"
152,152000,1,2019-10-10 22:59:28.000000,,"(51.2224,4.43004)"
153,153000,1,2019-10-07 16:02:08.000000,,"(51.2241,4.43214)"
154,154000,1,2020-01-15 15:35:20.000000,,"(51.2141,4.39792)"
155,155000,1,2021-09-06 02:56:46.000000,,"(51.2229,4.40622)"
156,156000,1,2019-10-08 18:38:27.000000,,"(51.2034,4.39221)"
157,157000,1,2020-01-06 05:28:51.000000,,"(51.2153,4.41198)"
158,158000,1,2020-08-12 15:49:57.000000,,"(51.1968,4.39632)"
159,159000,1,2019-09-23 06:33:39.000000,,"(51.2046,4.41057)"
160,160000,1,2023-06-17 07:39:41.000000,,"(51.2177,4.42075)"
161,161000,1,2020-03-04 07:36:47.000000,,"(51.209,4.43266)"
162,162000,1,2019-11-10 20:13:41.000000,,"(51.2101,4.41739)"
163,163000,1,2019-09-21 22:58:46.000000,,"(51.2201,4.43269)"
164,164000,1,2021-02-19 05:55:02.000000,,"(51.2314,4.40357)"
165,165000,1,2019-12-09 14:56:03.000000,,"(51.2311,4.41267)"
166,166000,1,2023-09-11 07:38:50.000000,72,"(51.219,4.40405)"
167,167000,1,2019-12-18 05:44:29.000000,,"(51.2224,4.43004)"
168,168000,1,2019-09-30 22:10:14.000000,,"(51.2153,4.41198)"
169,169000,1,2020-01-10 10:24:05.000000,,"(51.219,4.40405)"
170,170000,1,2019-11-01 05:20:52.000000,,"(51.2224,4.43004)"
171,171000,1,2020-05-10 05:08:25.000000,,"(51.2177,4.42075)"
172,172000,1,2019-12-16 18:37:53.000000,,"(51.213,4.42164)"
173,173000,1,2019-09-21 17:55:23.000000,,"(51.2171,4.40888)"
174,174000,1,2020-07-26 17:36:21.000000,,"(51.2195,4.41169)"
175,175000,1,2019-10-10 22:59:12.000000,,"(51.2224,4.43004)"
176,176000,1,2019-10-01 05:29:26.000000,,"(51.2251,4.41206)"
177,177000,1,2019-12-06 14:58:27.000000,,"(51.2119,4.39894)"
178,178000,1,2023-09-02 17:47:17.000000,2484,"(51.2182,4.40617)"
179,179000,1,2019-09-21 16:48:21.000000,,"(51.2099,4.42248)"
180,180000,1,2021-06-14 16:19:51.000000,,"(51.1968,4.39632)"
181,181000,1,2019-09-27 13:23:24.000000,,"(51.2047,4.39625)"
182,182000,1,2020-11-13 03:40:50.000000,,"(51.228,4.40221)"
183,183000,1,2023-09-14 18:19:05.000000,3600,"(51.2448,4.41434)"
184,184000,1,2019-12-25 12:15:28.000000,,"(51.2281,4.409)"
185,185000,1,2020-11-16 06:10:25.000000,,"(51.2016,4.42358)"
186,186000,1,2019-10-01 20:02:54.000000,,"(51.2241,4.43214)"
187,187000,1,2019-11-03 03:11:37.000000,,"(51.2165,4.39375)"
188,188000,1,2023-09-14 18:06:52.000000,7542,"(51.2062,4.38336)"
189,189000,1,2019-09-25 08:31:07.000000,,"(51.2104,4.38767)"
190,190000,1,2020-08-03 00:16:36.000000,,"(51.1999,4.41879)"
191,191000,1,2019-09-21 11:42:47.000000,,"(51.219,4.40405)"
192,192000,1,2020-01-12 02:27:46.000000,,"(51.2123,4.39402)"
193,193000,1,2022-11-29 06:48:59.000000,,"(51.2125,4.40924)"
194,194000,1,2019-10-03 00:52:03.000000,,"(51.2281,4.409)"
195,195000,1,2019-10-01 18:10:02.000000,1842,"(51.2032,4.42845)"
196,196000,1,2019-11-28 03:31:30.000000,,"(51.2195,4.41169)"
197,197000,1,2020-01-24 03:31:34.000000,,"(51.2272,4.42228)"
198,198000,1,2020-12-08 23:22:54.000000,,"(51.219,4.40405)"
199,199000,1,2019-12-06 12:52:47.000000,2690,"(51.2221,4.40467)"
200,200000,1,2019-12-16 14:52:36.000000,,"(51.2142,4.4162)"
201,201000,1,2019-10-06 05:05:50.000000,2436,"(51.2171,4.39924)"
202,202000,1,2019-12-16 18:37:12.000000,,"(51.213,4.42164)"
203,203000,1,2021-03-19 08:54:33.000000,,"(51.2281,4.409)"
204,204000,1,2019-10-15 22:07:40.000000,,"(51.219,4.40405)"
205,205000,1,2023-08-27 12:09:33.000000,2556,"(51.2186,4.43864)"
206,206000,1,2019-10-15 10:13:02.000000,,"(51.2008,4.39421)"
207,207000,1,2020-08-30 10:30:54.000000,,"(51.2112,4.43396)"
208,208000,1,2019-10-29 18:10:11.000000,,"(51.2276,4.43921)"
209,209000,1,2020-02-27 09:22:48.000000,,"(51.2047,4.39625)"
210,210000,1,2019-11-22 10:03:31.000000,,"(51.2217,4.42071)"
211,211000,1,2021-04-15 06:56:38.000000,,"(51.2311,4.41267)"
212,212000,1,2019-11-21 19:06:45.000000,,"(51.2311,4.41267)"
213,213000,1,2020-04-09 20:49:34.000000,,"(51.1971,4.4103)"
214,214000,1,2020-05-24 21:43:54.000000,,"(51.2187,4.40066)"
215,215000,1,2023-09-04 11:02:33.000000,5904,"(51.1817,4.37203)"
216,216000,1,2020-09-05 17:04:52.000000,,"(51.2142,4.4162)"
217,217000,1,2021-10-08 23:08:10.000000,,"(51.2104,4.38767)"
218,218000,1,2022-11-06 12:07:50.000000,,"(51.2113,4.44198)"
219,219000,1,2020-03-04 13:35:50.000000,,"(51.2058,4.41837)"
220,220000,1,2020-01-21 19:57:28.000000,,"(51.2182,4.40617)"
221,221000,1,2019-12-25 03:32:24.000000,,"(51.226,4.42343)"
222,222000,1,2023-09-10 17:34:32.000000,4410,"(51.2288,4.47866)"
223,223000,1,2019-11-26 14:45:42.000000,,"(51.2082,4.42433)"
224,224000,1,2021-05-01 02:54:20.000000,,"(51.1968,4.39632)"
225,225000,1,2019-11-10 22:57:16.000000,,"(51.2186,4.43056)"
226,226000,1,2019-12-30 07:30:46.000000,,"(51.1971,4.4103)"
227,227000,1,2019-12-31 13:47:37.000000,,"(51.2281,4.409)"
228,228000,1,2019-12-04 16:29:44.000000,,"(51.1984,4.4022)"
229,229000,1,2020-01-29 23:49:22.000000,,"(51.2103,4.39686)"
230,230000,1,2019-10-17 16:40:30.000000,,"(51.2281,4.409)"
231,231000,1,2021-06-03 08:50:57.000000,,"(51.2187,4.40066)"
232,232000,1,2020-03-13 06:20:59.000000,,"(51.2058,4.39879)"
233,233000,1,2020-02-13 20:59:40.000000,,"(51.2297,4.40572)"
234,234000,1,2019-10-11 11:03:59.000000,,"(51.2008,4.39808)"
235,235000,1,2019-10-11 06:58:20.000000,1827,"(51.2023,4.41208)"
236,236000,1,2019-12-07 01:18:58.000000,,"(51.1931,4.408)"
237,237000,1,2019-12-13 16:23:48.000000,,"(51.1984,4.4022)"
238,238000,1,2019-10-08 07:10:20.000000,,"(51.2273,4.4307)"
239,239000,1,2020-06-06 08:04:09.000000,,"(51.2104,4.38767)"
240,240000,1,2019-10-07 05:27:37.000000,,"(51.2299,4.43167)"
241,241000,1,2020-06-10 20:24:52.000000,,"(51.2281,4.409)"
242,242000,1,2019-10-05 09:37:17.000000,,"(51.2034,4.39221)"
243,243000,1,2019-09-21 06:21:51.000000,5909,"(51.1832,4.36413)"
244,244000,1,2019-10-03 00:52:12.000000,,"(51.2281,4.409)"
245,245000,1,2019-09-21 03:18:44.000000,4380,"(51.2288,4.47866)"
246,246000,1,2019-09-24 01:40:20.000000,,"(51.2195,4.41169)"
247,247000,1,2023-08-30 10:59:16.000000,828,"(51.2141,4.39792)"
248,248000,1,2020-07-06 04:03:46.000000,,"(51.2297,4.40572)"
249,249000,1,2023-09-10 17:26:16.000000,3601,"(51.2445,4.42309)"
250,250000,1,2019-11-10 04:30:42.000000,,"(51.2187,4.40066)"
251,251000,1,2020-03-17 22:26:33.000000,,"(51.2311,4.41267)"
252,252000,1,2019-09-24 04:18:55.000000,,"(51.2281,4.409)"
253,253000,1,2019-10-21 23:55:48.000000,,"(51.2012,4.40224)"
254,254000,1,2019-09-28 04:10:41.000000,,"(51.2141,4.39792)"
255,255000,1,2022-01-09 13:40:11.000000,,"(51.2182,4.41238)"
256,256000,1,2019-10-05 11:54:11.000000,,"(51.2201,4.43269)"
257,257000,1,2019-10-02 17:37:42.000000,,"(51.211,4.39035)"
258,258000,1,2019-09-22 22:56:08.000000,,"(51.2069,4.43013)"
259,259000,1,2020-04-21 00:10:22.000000,,"(51.2045,4.40477)"
260,260000,1,2019-12-19 04:49:28.000000,,"(51.2273,4.4307)"
261,261000,1,2020-01-19 20:14:28.000000,,"(51.209,4.43266)"
262,262000,1,2019-10-07 23:51:27.000000,,"(51.2299,4.43167)"
263,263000,1,2021-05-06 19:43:27.000000,,"(51.219,4.40405)"
264,264000,1,2021-02-11 22:30:19.000000,,"(51.2033,4.3889)"
265,265000,1,2019-11-14 12:37:22.000000,,"(51.2012,4.40224)"
266,266000,1,2019-09-21 06:21:19.000000,5917,"(51.1832,4.36413)"
267,267000,1,2020-11-12 12:31:46.000000,,"(51.25,4.4209)"
268,268000,1,2019-09-28 17:54:55.000000,,"(51.2058,4.41837)"
269,269000,1,2023-09-07 11:42:09.000000,1926,"(51.2047,4.38766)"
270,270000,1,2023-09-12 05:08:28.000000,4446,"(51.2251,4.46613)"
271,271000,1,2023-09-10 14:08:17.000000,6966,"(51.167,4.38213)"
272,272000,1,2019-12-16 02:27:59.000000,,"(51.2036,4.41518)"
273,273000,1,2019-09-22 09:17:36.000000,,"(51.2058,4.39879)"
274,274000,1,2019-09-21 02:34:44.000000,2496,"(51.2183,4.41409)"
275,275000,1,2019-12-24 03:40:18.000000,,"(51.2082,4.42433)"
276,276000,1,2023-09-14 17:52:10.000000,6066,"(51.1735,4.35219)"
277,277000,1,2019-12-02 11:23:40.000000,,"(51.2148,4.39251)"
278,278000,1,2019-12-26 05:06:45.000000,,"(51.2177,4.42075)"
279,279000,1,2021-01-27 05:55:38.000000,,"(51.2224,4.43004)"
280,280000,1,2020-12-14 05:35:52.000000,,"(51.2125,4.40924)"
281,281000,1,2019-10-28 19:09:23.000000,,"(51.2158,4.40314)"
282,282000,1,2019-12-01 03:45:45.000000,,"(51.2195,4.41169)"
283,283000,1,2023-09-02 16:57:25.000000,5022,"(51.2,4.45028)"
284,284000,1,2019-11-20 19:24:57.000000,,"(51.2221,4.40467)"
285,285000,1,2023-09-13 18:53:35.000000,6444,"(51.179,4.39048)"
286,286000,1,2019-10-29 14:47:13.000000,,"(51.2195,4.41169)"
287,287000,1,2020-01-13 05:43:14.000000,,"(51.2148,4.39632)"
288,288000,1,2019-09-21 02:34:33.000000,2491,"(51.2183,4.41409)"
289,289000,1,2020-01-05 15:38:44.000000,,"(51.2142,4.4162)"
290,290000,1,2020-01-02 06:03:35.000000,,"(51.2241,4.43214)"
291,291000,1,2020-02-21 10:45:27.000000,2828,"(51.2259,4.40086)"
292,292000,1,2021-02-22 03:29:53.000000,,"(51.2062,4.38336)"
293,293000,1,2021-04-15 19:39:07.000000,,"(51.1968,4.39632)"
294,294000,1,2019-12-01 09:09:25.000000,,"(51.2215,4.40869)"
295,295000,1,2020-03-11 16:20:03.000000,,"(51.2082,4.42433)"
296,296000,1,2023-09-07 16:54:49.000000,7434,"(51.1638,4.35336)"
297,297000,1,2019-09-30 16:06:03.000000,189,"(51.2058,4.41837)"
298,298000,1,2023-05-29 18:23:56.000000,,"(51.2187,4.40066)"
299,299000,1,2019-10-21 11:24:41.000000,,"(51.2177,4.42075)"
300,300000,1,2022-07-18 05:13:19.000000,,"(51.2047,4.39625)"
301,301000,1,2019-11-06 08:16:16.000000,,"(51.213,4.42164)"
302,302000,1,2019-11-11 06:52:06.000000,,"(51.228,4.41899)"
303,303000,1,2022-03-23 13:13:29.000000,,"(51.2177,4.42075)"
304,304000,1,2019-11-05 07:03:50.000000,,"(51.1985,4.39071)"
305,305000,1,2020-08-02 04:55:38.000000,,"(51.2187,4.40066)"
306,306000,1,2019-11-24 11:40:40.000000,,"(51.2058,4.41837)"
307,307000,1,2022-05-18 03:12:26.000000,,"(51.2215,4.40869)"
308,308000,1,2019-09-28 20:59:41.000000,,"(51.2276,4.43921)"
309,309000,1,2019-11-06 11:31:27.000000,,"(51.2058,4.41837)"
310,310000,1,2019-09-28 08:04:21.000000,,"(51.2311,4.41267)"
311,311000,1,2019-10-04 10:58:23.000000,,"(51.2008,4.39808)"
312,312000,1,2020-01-24 03:31:32.000000,,"(51.2272,4.42228)"
313,313000,1,2020-01-14 15:33:51.000000,,"(51.2099,4.42248)"
314,314000,1,2019-10-10 15:13:52.000000,,"(51.2047,4.39625)"
315,315000,1,2019-10-21 19:09:28.000000,,"(51.1985,4.39071)"
316,316000,1,2019-12-20 07:51:30.000000,,"(51.2047,4.39625)"
317,317000,1,2023-09-15 12:54:02.000000,6732,"(51.1709,4.34944)"
318,318000,1,2021-06-22 01:35:45.000000,,"(51.219,4.40405)"
319,319000,1,2023-09-12 23:41:40.000000,2106,"(51.2099,4.39098)"
320,320000,1,2020-01-20 05:05:59.000000,,"(51.1968,4.40579)"
321,321000,1,2020-02-09 03:27:40.000000,,"(51.2182,4.40617)"
322,322000,1,2019-09-29 05:39:44.000000,,"(51.211,4.39035)"
323,323000,1,2019-11-03 01:36:48.000000,,"(51.2177,4.42062)"
324,324000,1,2019-10-10 12:36:32.000000,1877,"(51.2046,4.41057)"
325,325000,1,2020-03-13 13:17:42.000000,,"(51.2103,4.39686)"
326,326000,1,2022-01-28 23:40:18.000000,,"(51.2174,4.42002)"
327,327000,1,2020-03-07 04:38:49.000000,,"(51.2016,4.42358)"
328,328000,1,2020-01-24 22:25:44.000000,,"(51.211,4.40724)"
329,329000,1,2019-10-13 13:23:45.000000,,"(51.2179,4.41777)"
330,330000,1,2020-01-22 03:58:10.000000,,"(51.2221,4.40467)"
331,331000,1,2019-12-19 04:49:13.000000,,"(51.2273,4.4307)"
332,332000,1,2019-10-24 13:43:28.000000,,"(51.2164,4.40598)"
333,333000,1,2019-11-20 16:19:25.000000,,"(51.2103,4.39686)"
334,334000,1,2019-11-14 06:13:40.000000,,"(51.1994,4.39013)"
335,335000,1,2019-10-21 05:30:44.000000,,"(51.2135,4.40496)"
336,336000,1,2019-12-24 08:11:55.000000,,"(51.2099,4.42248)"
337,337000,1,2019-12-24 02:20:43.000000,,"(51.2099,4.42248)"
338,338000,1,2019-10-06 01:48:50.000000,,"(51.2219,4.41289)"
339,339000,1,2019-11-09 00:23:39.000000,,"(51.2187,4.40066)"
340,340000,1,2020-01-04 22:48:45.000000,,"(51.2195,4.41169)"
341,341000,1,2021-04-27 15:58:15.000000,,"(51.2047,4.39625)"
342,342000,1,2019-10-12 05:27:04.000000,,"(51.2034,4.39221)"
343,343000,1,2023-09-11 16:20:10.000000,3653,"(51.2536,4.46369)"
344,344000,1,2020-06-20 07:34:54.000000,,"(51.2123,4.39402)"
345,345000,1,2019-11-19 06:48:35.000000,,"(51.2047,4.39625)"
346,346000,1,2019-11-03 03:11:34.000000,,"(51.2165,4.39375)"
347,347000,1,2021-01-18 09:43:56.000000,4015,"(51.2431,4.44735)"
348,348000,1,2020-01-29 04:25:50.000000,,"(51.2217,4.42071)"
349,349000,1,2019-11-08 22:05:38.000000,,"(51.1984,4.4022)"
350,350000,1,2020-01-15 04:34:38.000000,,"(51.2221,4.40467)"
351,351000,1,2020-03-30 06:24:15.000000,,"(51.2123,4.39402)"
352,352000,1,2021-11-05 14:05:04.000000,,"(51.2182,4.41238)"
353,353000,1,2019-12-02 11:23:59.000000,,"(51.2148,4.39251)"
354,354000,1,2022-05-03 16:39:02.000000,,"(51.2036,4.41518)"
355,355000,1,2019-10-08 17:06:11.000000,,"(51.2187,4.40066)"
356,356000,1,2021-04-07 06:52:47.000000,,"(51.2333,4.40311)"
357,357000,1,2022-12-09 23:48:54.000000,,"(51.2187,4.40066)"
358,358000,1,2020-06-14 18:50:39.000000,,"(51.2177,4.42075)"
359,359000,1,2019-11-22 01:24:38.000000,,"(51.2036,4.41518)"
360,360000,1,2019-12-23 05:13:55.000000,,"(51.2247,4.43659)"
361,361000,1,2020-01-20 01:52:26.000000,,"(51.2294,4.41127)"
362,362000,1,2023-09-04 16:48:20.000000,306,"(51.2279,4.37864)"
363,363000,1,2021-03-08 04:43:53.000000,,"(51.2183,4.41409)"
364,364000,1,2020-10-15 10:41:29.000000,,"(51.2281,4.41173)"
